place_id,name,phone,address,website,rating,review_count,latitude,longitude,business_status,types,price_level,search_term,search_location,collected_date,city_searched,city_priority,phone_clean,city_extracted,data_quality_score
ChIJ4z0Y8BApNoYRfwWADUP3O3c,Sabine Tree Service,(903) 917-3709,"190 Harvey Rd, Kilgore, TX 75662, USA",https://sabinetreeservice.com/,5.0,8,32.407935699999996,-94.98305429999999,OPERATIONAL,"point_of_interest, establishment",,tree service,"Kilgore, TX",2025-08-19 22:02:58,"Kilgore, TX",1,9039173709,Kilgore,6
ChIJsybqMF8xNoYRev1Sw5POyXk,AAA Tree Services,(903) 261-7636,"E Main St, Kilgore, TX 75662, USA",,5.0,5,32.3834522,-94.8730559,OPERATIONAL,"point_of_interest, establishment",,tree service,"Kilgore, TX",2025-08-19 22:02:58,"Kilgore, TX",1,9032617636,Kilgore,5
ChIJl_b1NFcxNoYRTLZHW3cvJhw,East Texas Best Tree Care,(903) 522-9436,"Kilgore, TX 75662, USA",,5.0,3,32.416601,-94.8882106,OPERATIONAL,"point_of_interest, establishment",,tree service,"Kilgore, TX",2025-08-19 22:02:58,"Kilgore, TX",1,9035229436,TX 75662,5
ChIJ9XnWp6UpNoYRRQRBQrswxtc,VICX tree service,(903) 812-3652,"24839 TX-31, Kilgore, TX 75662, USA",https://vicxtreeservice.com/,5.0,43,32.37732,-94.9865363,OPERATIONAL,"point_of_interest, establishment",,tree service,"Kilgore, TX",2025-08-19 22:02:58,"Kilgore, TX",1,9038123652,Kilgore,6
ChIJuz2GSIYxNoYR7lHvKg2Fv5U,Overman Tree Service,(903) 987-7656,"614 Co Rd 186, Kilgore, TX 75662, USA",,4.8,4,32.3574698,-94.859642,OPERATIONAL,"point_of_interest, establishment",,tree service,"Kilgore, TX",2025-08-19 22:02:58,"Kilgore, TX",1,9039877656,Kilgore,5
ChIJV7XKL8YxNoYRbJAedaOzV2c,Randy Smith's Tree Care,(903) 315-8102,"11163 US-259, Overton, TX 75684, USA",,4.9,12,32.304145999999996,-94.86565189999999,OPERATIONAL,"point_of_interest, establishment",,tree service,"Kilgore, TX",2025-08-19 22:02:58,"Kilgore, TX",1,9033158102,Overton,6
ChIJT2fdrLQvNoYRFr2QOmGK6n8,All In 1 Tree Service,(903) 808-3128,"202 Locust St, Kilgore, TX 75662, USA",http://stores.ebay.com/ferroddarastrix,3.7,3,32.3959511,-94.91908049999999,OPERATIONAL,"point_of_interest, establishment",,tree service,"Kilgore, TX",2025-08-19 22:02:58,"Kilgore, TX",1,9038083128,Kilgore,5
ChIJiZyh9D9HNoYRmCDs7hLeM_c,Gerardo’s Tree Service,(903) 424-4270,"6778 County Rd 291, Kilgore, TX 75662, USA",,4.7,23,32.340931499999996,-94.7550816,OPERATIONAL,"point_of_interest, establishment",,tree service,"Kilgore, TX",2025-08-19 22:02:58,"Kilgore, TX",1,9034244270,Kilgore,6
ChIJ8zMwo7wzNoYRaeBPLfzO9vE,Gonzalez Tree Service,(903) 987-9366,"604 Co Rd 182 E, Overton, TX 75684, USA",http://www.gtstexas.com/,5.0,21,32.3237513,-94.8604658,OPERATIONAL,"point_of_interest, establishment",,tree service,"Kilgore, TX",2025-08-19 22:02:58,"Kilgore, TX",1,9039879366,Overton,6
ChIJIecwbk05NoYR7qzZyDDfZ08,Professional Tree Services,(903) 738-5569,"723 W Old Hwy 80, White Oak, TX 75693, USA",,5.0,4,32.5246519,-94.8741337,OPERATIONAL,"point_of_interest, establishment",,tree service,"Kilgore, TX",2025-08-19 22:02:58,"Kilgore, TX",1,9037385569,White Oak,5
ChIJIfQTnn05NoYRu51aOvk0_sY,Dominguez Tree Service & Landscaping,(903) 576-6893,"150 Private Rd 1301, Gladewater, TX 75647, USA",https://domingueztreeservice.com/,4.9,34,32.5668028,-94.91978669999999,OPERATIONAL,"general_contractor, point_of_interest, establishment",,tree service,"Kilgore, TX",2025-08-19 22:02:58,"Kilgore, TX",1,9035766893,Gladewater,6
ChIJt2W4AhObNIYRYwMCu4uXAvI,The Tree Guy of Texas / Dougan Tree Services,(903) 424-7273,"1206 Nottingham St, White Oak, TX 75693, USA",,4.7,35,32.5178167,-94.85675979999999,OPERATIONAL,"point_of_interest, establishment",,tree service,"Kilgore, TX",2025-08-19 22:02:58,"Kilgore, TX",1,9034247273,White Oak,6
ChIJSbJRI80uNoYR715KsTIl_oQ,ETX Tree Clearing & Dirt Work,(903) 808-7221,"226 Progress Blvd, Longview, TX 75604, USA",https://www.etxtreeclearingdirtwork.com/,4.8,99,32.5049221,-94.8293218,OPERATIONAL,"general_contractor, point_of_interest, establishment",,tree service,"Kilgore, TX",2025-08-19 22:02:58,"Kilgore, TX",1,9038087221,Longview,6
ChIJSzrlNXQxNoYRvmhcaleZjpA,Richard's Stump Grinding,(903) 571-2265,"2009 Roberts St, Kilgore, TX 75662, USA",,4.5,2,32.369605299999996,-94.848396,OPERATIONAL,"point_of_interest, establishment",,tree service,"Kilgore, TX",2025-08-19 22:02:58,"Kilgore, TX",1,9035712265,Kilgore,5
ChIJve-CHaMkNoYRCNGRvt8JQRc,S&A Tree Service,(903) 845-8105,"13146 County Rd 3104, Gladewater, TX 75647, USA",,4.8,19,32.4538054,-95.02942449999999,OPERATIONAL,"point_of_interest, establishment",,tree service,"Kilgore, TX",2025-08-19 22:02:58,"Kilgore, TX",1,9038458105,Gladewater,6
ChIJv1T0rsk-NoYRKAPCbP93paY,Olivares Tree Consulting,(903) 215-6543,"3021 Evangeline St, Longview, TX 75605, USA",https://olivarestreeconsulting.com/,4.9,68,32.544883,-94.7877586,OPERATIONAL,"point_of_interest, establishment",,tree service,"Kilgore, TX",2025-08-19 22:02:58,"Kilgore, TX",1,9032156543,Longview,6
ChIJ_____2NHNoYR-JQCVJB0_wM,C & M Tree Service,(903) 753-9616,"800 Noel Dr, Longview, TX 75602, USA",http://c-mtreeservice.com/,4.9,29,32.4857711,-94.7218114,OPERATIONAL,"point_of_interest, establishment",,tree service,"Longview, TX",2025-08-19 22:03:07,"Longview, TX",1,9037539616,Longview,6
ChIJP-XkBINHNoYR1gR6gW-LuLM,Lobo Tree Service,(903) 353-7876,"301 S 14th St, Longview, TX 75602, USA",https://www.lobotreeservice.com/,4.7,70,32.490961299999995,-94.7194078,OPERATIONAL,"point_of_interest, establishment",,tree service,"Longview, TX",2025-08-19 22:03:07,"Longview, TX",1,9033537876,Longview,6
ChIJm3-gozM5NoYRzAfHKC5v6l8,tree geeks,(903) 218-1124,"Colony Cir, Longview, TX 75604, USA",,5.0,17,32.5116201,-94.7702858,OPERATIONAL,"point_of_interest, establishment",,tree service,"Longview, TX",2025-08-19 22:03:07,"Longview, TX",1,9032181124,Longview,6
ChIJx6wjXSRHNoYRzuoyemitsDY,C&C tree services LLC,(903) 371-9350,"800 E Young St, Longview, TX 75602, USA",https://cctreeservices.com/,4.8,19,32.4844106,-94.7234164,OPERATIONAL,"point_of_interest, establishment",,tree service,"Longview, TX",2025-08-19 22:03:07,"Longview, TX",1,9033719350,Longview,6
